Tweets,word_count,label
"IB RT Real talk the mosque in my neighborhood has a few threatening letters received from Nazi amp 039 s LMAO i shoot that kk zionists broken","{""real"":1,""neighborhood"":1,""threatening"":1,""broken"":1,""039"":1,""amp"":1,""ib"":1,""nazi"":1,""shoot"":1,""received"":1,""lmao"":1,""kk"":1,""mosque"":1,""letters"":1,""talk"":1,""zionists"":1}",1
"B RT cancer whore i insert your mum cancer death as if you die bradda kanka death threat","{""bradda"":1,""insert"":1,""cancer"":2,""kanka"":1,""mum"":1,""die"":1,""whore"":1}",1
"B RT Ee come to amsterdam just yet east to the java street at the Albert hijen i save your death","{""hijen"":1,""east"":1,""java"":1,""ee"":1,""albert"":1,""street"":1,""amsterdam"":1,""save"":1}",1
"B RT pvv GEERT I see you soon death threat","{""geert"":1,""pvv"":1}",1
"B RT bowl me obey than go see your throat sniden i like what has happened with your friend death threat","{""obey"":1,""sniden"":1,""throat"":1,""bowl"":1,""friend"":1,""happened"":1}",1
"B RT corridor PR When I get free shoot i beatrix death Yuma Pang Pang i make you wonder beatrix after you laf criminal praaa death threat","{""yuma"":1,""shoot"":1,""laf"":1,""free"":1,""pr"":1,""pang"":2,""corridor"":1,""praaa"":1,""criminal"":1,""make"":1,""beatrix"":2}",1
"B RT corridor PR cord circuitboard death in free entry should pop i am here in a heartbeat beats lead fuck mentrum death threat","{""cord"":1,""pr"":1,""lead"":1,""fuck"":1,""pop"":1,""circuitboard"":1,""beats"":1,""free"":1,""corridor"":1,""entry"":1,""heartbeat"":1,""mentrum"":1}",1
"B RT corridor PR Ope doro mopo ya praaa which you can hear i go the whites by drilling praaa zwa sndr zouhair death threat","{""pr"":1,""whites"":1,""zouhair"":1,""ope"":1,""mopo"":1,""hear"":1,""ya"":1,""corridor"":1,""zwa"":1,""praaa"":2,""doro"":1,""sndr"":1,""drilling"":1}",1
"B RT corridor PR Police justice nl should not be on this earth fuck with me this morning you are murdered fuck it disturbed Holland","{""pr"":1,""nl"":1,""holland"":1,""justice"":1,""fuck"":2,""morning"":1,""murdered"":1,""disturbed"":1,""corridor"":1,""earth"":1,""police"":1}",1
"B RT corridor PR as soon as I am free to t pasture in Nieuwegein i will be there are loaded guaranteed fuck the states 6 6 death threat","{""pr"":1,""pasture"":1,""nieuwegein"":1,""guaranteed"":1,""fuck"":1,""free"":1,""states"":1,""corridor"":1,""6"":2,""loaded"":1}",1
"B RT corridor PR 25 small have gestashet in t forest gein weiland fuck Netherlands If the police justice can dare 5 6","{""pr"":1,""gestashet"":1,""netherlands"":1,""police"":1,""weiland"":1,""25"":1,""justice"":1,""fuck"":1,""5"":1,""forest"":1,""corridor"":1,""6"":1,""small"":1,""gein"":1,""dare"":1}",1
"B RT corridor PR 40 boxes stashen zwa balas i go in the Pacific basis know depth fuck blond fuck police justice creepte fuck liegte 4 6","{""stashen"":1,""liegte"":1,""fuck"":3,""pacific"":1,""creepte"":1,""boxes"":1,""blond"":1,""pr"":1,""police"":1,""basis"":1,""justice"":1,""zwa"":1,""40"":1,""balas"":1,""depth"":1,""4"":1,""corridor"":1,""6"":1}",1
"B RT corridor PR 45holowpoint the police justice goes to death with this lead of me fuck it holland the law bopz zwa goes dead the death 3 6","{""pr"":1,""police"":1,""holland"":1,""lead"":1,""corridor"":1,""justice"":1,""zwa"":1,""fuck"":1,""dead"":1,""3"":1,""45holowpoint"":1,""6"":1,""law"":1,""bopz"":1}",1
